datetime;uc01;uc02;uc03;uc04
12.01.2019 13:00:00;4439,133440326;3738,085554270;2669,184308833;3605,976703699
12.01.2019 14:00:00;4762,827619482;3926,385833690;2992,309517781;3517,803169888
12.01.2019 15:00:00;4834,515544167;4010,762217141;3235,749584211;3492,706719436
12.01.2019 16:00:00;4868,065627045;3998,659670169;3071,784731380;3845,868929395
12.01.2019 17:00:00;5103,096439941;4214,202968045;3313,960548639;3773,591012394
12.01.2019 18:00:00;5303,989478470;4362,090006246;3072,421549619;3858,202836442
12.01.2019 19:00:00;5226,648426296;4269,118950681;3358,367187907;3481,727674244
12.01.2019 20:00:00;4787,636335398;3889,260002993;3480,859927588;3431,998289385
12.01.2019 21:00:00;4484,534497873;3785,205487408;2945,277101061;3322,284977055
12.01.2019 22:00:00;4257,323514139;3597,556736744;3115,414755150;3093,700166326
12.01.2019 23:00:00;4021,998057162;3450,545020503;2887,443451607;2905,518106263
13.01.2019 0:00:00;3969,528357307;3349,053945401;2746,617422279;2972,957730248
13.01.2019 1:00:00;3726,695236244;3145,971179048;2582,537600531;2667,857368191
13.01.2019 2:00:00;3348,393610216;2941,745910898;2606,147728567;2547,835862597
13.01.2019 3:00:00;2908,816702889;2616,194162525;2428,933553923;2363,774236820
13.01.2019 4:00:00;531,483405733;489,424613826;469,937166148;467,270863153
13.01.2019 5:00:00;2678,475516446;2456,886800552;2249,525413204;2420,998167670
13.01.2019 6:00:00;2847,490420347;2568,067288680;2189,188849339;2573,992102595
13.01.2019 7:00:00;2980,779458691;2671,649945915;2231,456893715;2725,845179960
13.01.2019 8:00:00;3181,051242542;2838,337629436;2441,357863585;2787,717695567
13.01.2019 9:00:00;3611,103939268;3091,797975710;2554,659470365;3120,222578781
13.01.2019 10:00:00;3955,345911327;3332,141986419;2591,048259462;3126,352980576
13.01.2019 11:00:00;4262,303986373;3567,980255237;2721,695118542;3393,152326170
13.01.2019 12:00:00;4413,260733113;3646,780557428;2950,512809713;3396,892905972
13.01.2019 13:00:00;4406,425681574;3703,275863538;2937,068086777;3484,570087622
13.01.2019 14:00:00;4733,877265668;3888,814653509;3012,034828809;3656,770168048
13.01.2019 15:00:00;5068,680548284;4237,404621144;3197,719258733;4008,826441634
13.01.2019 16:00:00;5635,802003694;4462,356201917;2924,040458646;4100,840857653
13.01.2019 17:00:00;5802,622127875;4593,319542419;3550,231128813;4175,239987472
13.01.2019 18:00:00;5690,418841912;4566,191971806;3701,242056514;3917,911046848
13.01.2019 19:00:00;5423,363609917;4408,760991847;3280,648998475;3697,776903472
13.01.2019 20:00:00;5302,258911998;4221,639855295;3461,148676902;3670,023908821
13.01.2019 21:00:00;5112,276898666;4180,395551816;3299,059856204;3513,390128896
13.01.2019 22:00:00;4798,136279130;3945,783024182;3003,736767830;3401,868444031
13.01.2019 23:00:00;4469,163000758;3631,664712320;2893,265966434;3152,790964680
14.01.2019 0:00:00;4007,455362588;3402,260777377;2813,207732724;2818,306048646
14.01.2019 1:00:00;3560,022172167;3086,006612745;2559,886748473;2678,678298381
14.01.2019 2:00:00;3142,181392748;2797,356357020;2509,111032707;2483,552457947
14.01.2019 3:00:00;2809,687711650;2567,794871624;2502,757359846;2349,228213115
14.01.2019 4:00:00;2602,703907740;2421,362537467;2324,392809619;2329,662469726
14.01.2019 5:00:00;2670,669146742;2459,433502783;2249,008597609;2432,642970611
14.01.2019 6:00:00;2765,460710417;2513,243598721;2252,144707611;2455,200309112
14.01.2019 7:00:00;2798,026888800;2560,743078355;2317,129266074;2454,663458304
14.01.2019 8:00:00;2825,921453167;2565,501944831;2254,188480015;2547,916025920
14.01.2019 9:00:00;3018,835976544;2722,206994569;2243,720379001;2759,219695738
14.01.2019 10:00:00;3275,604441521;2864,713420672;2417,491423335;2853,318159617
14.01.2019 11:00:00;3490,417956677;2982,196248033;2353,503006711;3216,668761483
14.01.2019 12:00:00;4441,633359517;3680,743940162;2436,595811355;3378,927627368
14.01.2019 13:00:00;4440,070036944;3740,126333399;2729,493213807;3398,526377936
14.01.2019 14:00:00;4755,076750726;3928,354330017;3108,567262606;3868,400935544
14.01.2019 15:00:00;5239,760674705;4219,696412874;2779,052945882;4125,069999131
14.01.2019 16:00:00;5686,342919872;4399,801039661;3111,202652329;4199,204529114
14.01.2019 17:00:00;5943,713406939;4763,347968573;3561,342020227;4230,753366475
14.01.2019 18:00:00;5878,652348130;4554,153632767;3319,652890285;3886,254075905
14.01.2019 19:00:00;5468,034720250;4370,163302934;3440,187716109;3580,164115681
14.01.2019 20:00:00;5107,690396559;4110,197218675;3497,263927543;3692,722691841
14.01.2019 21:00:00;4843,485102689;3938,047603999;2874,129995839;3328,053417368
14.01.2019 22:00:00;4546,156378502;3731,615496512;3165,718953508;3208,442005833
14.01.2019 23:00:00;4262,355155148;3573,878858980;2783,077806028;3016,455245818
15.01.2019 0:00:00;3733,738447199;3169,715815801;2732,734130569;2679,175404367
15.01.2019 1:00:00;3338,558499997;2906,143890951;2486,575545396;2493,075233645
15.01.2019 2:00:00;2854,871616441;2618,535356930;2535,768173219;2302,676880031
